"url","issue","detail","priority"
"/problems/kitchen-sink-backing-up","missing social preview image metadata","No og:image/twitter:image found","P3"
"/problems/main-sewer-line-signs","duplicate brand in title","Main sewer line signs | Plumbing Hands | Plumbing Hands","P2"
"/problems/main-sewer-line-signs","missing social preview image metadata","No og:image/twitter:image found","P3"
"/problems/no-hot-water-emergency","duplicate brand in title","No hot water emergency | Plumbing Hands | Plumbing Hands","P2"
"/problems/no-hot-water-emergency","missing social preview image metadata","No og:image/twitter:image found","P3"
"/problems/outdoor-cleanout-overflowing","duplicate brand in title","Outdoor cleanout overflowing | Plumbing Hands | Plumbing Hands","P2"
"/problems/outdoor-cleanout-overflowing","missing social preview image metadata","No og:image/twitter:image found","P3"
"/problems/sewer-smell-in-bathroom","duplicate brand in title","Sewer smell in bathroom | Plumbing Hands | Plumbing Hands","P2"
"/problems/sewer-smell-in-bathroom","missing social preview image metadata","No og:image/twitter:image found","P3"
"/problems/toilet-overflowing-will-not-stop","duplicate brand in title","Toilet overflowing and will not stop | Plumbing Hands | Plumbing Hands","P2"
"/problems/toilet-overflowing-will-not-stop","missing social preview image metadata","No og:image/twitter:image found","P3"
"/problems/washing-machine-drain-backing-up","duplicate brand in title","Washing machine drain backing up | Plumbing Hands | Plumbing Hands","P2"
"/problems/washing-machine-drain-backing-up","missing social preview image metadata","No og:image/twitter:image found","P3"
"/problems/water-backing-up-in-shower-and-toilet","duplicate brand in title","Water backing up in shower and toilet | Plumbing Hands | Plumbing Hands","P2"
"/problems/water-backing-up-in-shower-and-toilet","missing social preview image metadata","No og:image/twitter:image found","P3"
"/problems/water-heater-leaking-emergency","duplicate brand in title","Water heater leaking emergency | Plumbing Hands | Plumbing Hands","P2"
"/problems/water-heater-leaking-emergency","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/24-hour-emergency-plumber","duplicate brand in title","24-hour emergency plumber in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/24-hour-emergency-plumber","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/burst-pipe-emergency","duplicate brand in title","burst pipe emergency in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/burst-pipe-emergency","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/commercial-emergency-plumbing","duplicate brand in title","commercial emergency plumbing in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/commercial-emergency-plumbing","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/emergency-drain-cleaning","duplicate brand in title","emergency drain cleaning in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/emergency-drain-cleaning","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/main-sewer-line-clog","duplicate brand in title","main sewer line clog in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/main-sewer-line-clog","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/same-day-plumber-connection","duplicate brand in title","same-day plumber connection in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/same-day-plumber-connection","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/sewer-backup-help","duplicate brand in title","sewer backup help in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/sewer-backup-help","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/sink-and-shower-drain-backup","duplicate brand in title","sink and shower drain backup in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/sink-and-shower-drain-backup","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/toilet-overflow-emergency","duplicate brand in title","toilet overflow emergency in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/toilet-overflow-emergency","missing social preview image metadata","No og:image/twitter:image found","P3"
"/services/water-heater-emergency","duplicate brand in title","water heater emergency in Dallas-Fort Worth | Plumbing Hands | Plumbing Hands","P2"
"/services/water-heater-emergency","missing social preview image metadata","No og:image/twitter:image found","P3"
"/terms","duplicate brand in title","Terms of use | Plumbing Hands | Plumbing Hands","P2"
"/terms","missing social preview image metadata","No og:image/twitter:image found","P3"
